id;text
not as bad as thora birch was in dungeons & dragons , but entirely miscast , with bad deliveries , awful sequences and a piss-poor accent that comes and goes . 
now i'm not sure if this was ms . suvari's fault or the director's , but i've definitely seen her at a much higher level than in this film . 
the only semi-saving grace actor-wise is tim roth as the irrepressible ' bad guy ' , but once again , it's not something that we haven't seen before . . . a 
thousand times . . . by the same guy ! ! 
tim , please . . . for the love of god , beg your agent to ask the marketplace for some modern day ' american roles ' for you as a ' nice guy ' in a romantic comedy or something . 
stretch , dude . . . stretch ! ! 
we all know that you can do much better than this gunk . 
alright , what else was bad in this film ? 
oh yeah , the score ! 
yikes , how's about taking it down a few notches there , fellas ? 
this thing blares in your ear whenever it feels the need to accentuate a certain scene , but actually does little more than annoy . 
i think it's important for the man behind the music to recognize that this film isn't a ' real epic ' by any stretch of the imagination . 
it's a fluffy rehashed cake-walk created by some ' shrewd ' studio heads who decided to take advantage of the whole ' kung-fu ' phenomenon in films , and test it out on an old classic . 
dudes . . . you 
failed all around ! 
 ( keep reading ) 
the editing is also pretty shoddy in this movie , the dialogue banal and stilted and the plot problems . . . plentiful ! 
 ( why does the guy on top of the horse carriage just stand there when his opponent takes forever scampering his way back to the top ? 
why don't they just cut the mouseketeer's rope at the top of the tower , instead of jumping down on their own chords and fighting him while hanging ? 
why doesn't anybody look a day older , when the sequence says ' 14 years later ' ? 
 ( at least . . . change 
your shirt , man ! ) 
keep in mind that i have never strayed away from championing certain movies that are created simply for the sake of a ' fun time ' , but this flick just didn't cut it for me . 
it was boring for stretches , the acting was atrocious at times ( the ' romantic ' scene between suvari and chambers next to the lake reminded me of plays in high school which made you cringe ) , there was little reason to care for anyone and since when were the musketeers fat ? 
i will give the movie this much , and that is that its main reason for being ( its ' raison-d'etre ' , as the french would say ) , its fight sequences , do come through despite the lack of their numbers in the film . 
i was hoping that the movie would be packed with cool stuntwork as promoted in its trailer , but what you see there , are essentially the snippets from the two major ( and cool ) swashbuckling sequences from the film . 
the first comes right at the beginning of the movie , while the other essentially finishes the film off , hanging from the tower and juggling off ladders . 
the ladder sequence itself is a definite keeper but unfortunately the rest of the movie is just regurgitated crap . 
and can anyone please tell me how catherine deneuve got her name placed at the top of this film's credits ? 
hullo ? 
the film is called the musketeer and stars a dude name justin chambers . 
deneuve is barely in this movie ! 
ugh , just another small thing that annoyed me about this trash . 
now say it together , gang : ' all for one , and one for all . . . we 
vow to stay away from it all ! ! ' 
thank me later . 
where's joblo coming from ? 
a knight's tale ( 7/10 ) - american outlaws ( 5/10 ) - crouching tiger , hidden dragon ( 7/10 ) - the matrix ( 8/10 ) - the replacement killers ( 6/10 ) - romeo must die ( 3/10 ) - shanghai noon ( 6/10 ) 
"

20;"the american action film has been slowly drowning to death in a sea of asian wire-fu copycats . 
it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea . 
sometimes , the mix results in a mind-blowing spectacle unlike any other . 
quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem . 
but too often hollywood gets it wrong , even when they pay off chinese directors . 
flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists . 
mostly it's laughable . 
in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form . 
but iron monkey , the latest asian import , shows us how to get it right . 
iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry . 
but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) . 
unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression . 
iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth . 
iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger . 
however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox . 
in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience . 
while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune . 
aka siunin wong fei-hung tsi titmalau . 
"

21;"best remembered for his understated performance as dr . hannibal lecter in michael mann's forensics thriller , manhunter , scottish character actor brian cox brings something special to every movie he works on . 
usually playing a bit role in some studio schlock ( he dies halfway through the long kiss goodnight ) , he's only occasionally given something meaty and substantial to do . 
if you want to see some brilliant acting , check out his work as a dogged police inspector opposite frances mcdormand in ken loach's hidden agenda . 
cox plays the role of big john harrigan in the disturbing new indie flick l . i . e . , which lot 47 picked up at sundance when other distributors were scared to budge . 
big john feels the love that dares not speak its name , but he expresses it through seeking out adolescents and bringing them back to his pad . 
what bothered some audience members was the presentation of big john in an oddly empathetic light . 
he's an even-tempered , funny , robust old man who actually listens to the kids' problems ( as opposed to their parents and friends , both caught up in the high-wire act of their own confused lives . ) 
he'll have sex-for-pay with them only after an elaborate courtship , charming them with temptations from the grown-up world . 
l . i . e . stands for long island expressway , which slices through the strip malls and middle-class homes of suburbia . 
filmmaker michael cuesta uses it as a ( pretty transparent ) metaphor of dangerous escape for his 15-year old protagonist , howie ( paul franklin dano ) . 
in his opening voice-over , howie reveals a morbid preoccupation with death on the road , citing the l . i . e . 
highway deaths of filmmaker alan j . pakula , songwriter harry chapin , and his own mother on exit 52 . 
he's both fascinated and disturbed by the l . i . e . , and those feelings are projected onto big john ( who follows howie around in his bright red car , but never makes a move to force the boy to do something he doesn't want to do . 
this makes him much more complex than the usual child molesters seen in movies -- he's a beast , but ashamed of it . ) 
l . i . e . would have worked best as a half-hour short film about howie's ill-advised foray into big john's haven . 
there is unnecessary padding with howie's miserable dad ( bruce altman ) in the hot seat for a white-collar crime , degenerate youngsters who get their kicks from robbing middle-class houses , and some homoerotic shenanigans with wise-ass gary terrio ( billy kay ) , a handsome artful dodger . 
rather than add to the themes of suburban ennui ( not that we needed another movie on that subject ) , these awkward subplots pad out the running time to adequate feature length . 
concurrently , the relationship between howie and big john is evenly paced and exceptionally well acted . 
cox , sporting a baseball cap and a faded marine tattoo , is all bluff and bluster . 
dano is quiet and at first glance seems so withdrawn as to be transparent . 
we're so used to child actors whose dramatic choices are broad and obvious ( calling haley joel ! ) , it's surprising to see one who actually listens throughout any given scene . 
the restraint is admirable . 
but l . i . e . 's screenplay doesn't always give them the best material . 
when howie reads big john a walt whitman poem , the moment feels a bit too precious . 
director michael cuesta lingers on an ecstatic reaction shot of big john , who may as well be hearing glenn gould performing bach's goldberg variations . 
it's too much . 
there are also some obvious dramatic contrivances involving big john's other boy toy ( walter masterson ) , jealous over the newbie . 
this plot thread predictably leads to violence . 
not content to be a haunting , observational portrait of teen alienation in a royally screwed up world ( like terry zwigoff's superb ghost world ) , cuesta lacks the confidence in his own work to end on an ambivalent note . 
it's typical of unimaginative cinema to wrap things up with a bullet , sparing the writers from actually having to come up with a complex , philosophical note . 
in this regard , l . i . e . 
 ( and countless other indie films ) share something in common with blockbuster action films : problems are solved when the obstacle is removed . 
how often does real life work this way ? 
to extend the question : if a movie is striving for realism , do dramatic contrivances destroy the illusion ? 
"

22;"after watching ' rat race ' last week , i noticed my cheeks were sore and realized that , when not laughing aloud , i had held a grin for virtually all of the film's 112 minutes . 
saturday night , i attended another sneak preview for the movie and damned if i didn't enjoy it as much the second time as the first . 
 ' rat race ' is a great goofy delight , a dandy mix of energetic performances , inspired sight gags and flat-out silliness . 
hands down , this is the most fun film of the summer . 
the movie begins with zippy retro-style opening credits that look like they were torn straight out of a '60s slapstick comedy , featuring animated photos of the cast attached to herky-jerky bodies bounding around the screen . 
then comes the setup . 
donald sinclair ( john cleese ) , the extremely rich owner of the venetian hotel and casino in las vegas , enjoys concocting unusual bets for his high rolling clients . 
to that end , he places a half dozen very special tokens in his slot machines . 
gathering together the lucky token holders , he explains , ' today you have a chance to play a game where the odds of winning are one in six . ' 
the competition is simple : each contestant gets a key that opens a locker in silver city , n . m . , containing $2 million in cash . 
there is a transmitter in every key , so that sinclair and his cronies can keep track of who is ahead . 
the race has no rules ? whichever contestant reaches the locker first gets the money . 
since it would be wrong to spoil any of the jokes , let's use the next few paragraphs to profile the racers . 
decked out in flashy , trashy clothing and sporting big hair , vera baker ( whoopi goldberg ) is in town to reunite with the daughter she gave up for adoption as a baby . 
she finds that grown-up merrill ( lanai chapman ) is erudite , conservative and more than a little bit wary of this stranger trying to jump into her life . 
thrown together , it becomes clear that both women share a fierce competitive nature . 
owen templeton ( cuba gooding jr . ) is currently the most hated man in america . 
an nfl referee , he cost gamblers all over the country enormous amounts of money by blowing a call in a high-profile game . 
after escaping from a vengeful cab driver , owen gets to new mexico by masquerading as the driver for a busload of lucy ricardo impersonators heading to a convention . 
mr . pollini ( rowan atkinson ) is a cheerful , odd little italian man on holiday in america . 
he also is narcoleptic and falls asleep at the most inopportune times . 
pollini hitches a ride with zack ( wayne knight ) , a hyper-tense ambulance driver carrying a human heart across country for a transplant operation . 
randy pear ( jon lovitz ) promised his wife beverly ( kathy najimy ) and two kids a fun-filled vacation in las vegas . 
fearful that beverly will be angry over his involvement in the race , he claims that he must travel to silver city for a job interview . 
beverly insists the family stay together , so they hop in the mini-van and tear off into the desert . 
brothers duane ( seth green ) and blaine ( vince vieluf ) cody are young , crooked and stupid . 
blaine has a speech impediment due to his poorly self-done tongue piercing , and duane is the only person who can come close to understanding him . 
the boys will stop at nothing to reach their goal . 
finally , nick shaffer ( breckin meyer ) is a no-nonsense lawyer-in-training who recruits helicopter pilot tracy faucet ( amy smart ) for the journey . 
at first glance , they seem blandly wholesome , but all that changes when tracy buzzes the home of her boyfriend shawn ( dean cain ) and spies him swimming with another woman . 
director jerry zucker ( ' airplane , ' ' ghost ' ) leaps from racer to racer , periodically returning to las vegas where sinclair and mr . grisham ( dave thomas ) , his personality-impaired right hand man , continue cooking up bizarre bets for the gamblers . 
as with any zucker production , a few jokes fall flat , but the momentum of the comedy zooms past those missteps . 
high points for me include a bit involving kathy bates as a roadside squirrel salesperson and an intricately set up gag that carries jon lovitz and family from a bizarre museum to an outdoor rally , with an utterly tasteless and screamingly funny pay-off . 
had i been part of the filmmaking team , i would have ditched a joke where a key is dropped into a baby's clothes and instead had the key get lost in the cleavage of a dozing society matron . 
it would have drawn the same laugh without the squirm-inducing hint of child molestation . 
i also would have selected a different band for a concert sequence . 
my god , do we really need yet another movie with smash mouth performing ' all star ? ' 
but enough carping . 
 ' rat race ' is a riot , with terrific no-holds-barred performances from the diverse cast . 
see it , see it again and when the dvd comes out , buy it , because a movie this hilarious will surely have outtakes to die for . 
"

23;"i've noticed something lately that i've never thought of before . 
pseudo- substance - hollywood faking deep meanings in their films . 
have you ever seen a movie that you really enjoyed , then when you look back , you realize there was something missing ? 
more and more , filmmakers seem to be putting out well rehearsed , melodramatic films that evoke strong connotations of being a great film , but if you step aside and reflect on your movie going experience , you may just discover nothing more than elegantly presented fluff . 
i'm not trying to say city of angels is that bad . 
it had a lot going for it , but somewhere along the way , it faltered . 
somehow , underneath the seemingly poetic beauty of it all , there was a gigantic hole somebody covered with iridescent performances and glossy cinematography . 
the predictable ending that shattered our hopes ( even though we saw it coming ) only added to the disappointment . 
but for over an hour , city of angels is well worth the time . 
nicolas cage is seth , a guardian angel who , like hundreds ( likely thousands or even millions ) of other angels , spends eternity watching over the citizens of mortality ; humans never aware of how much celestial intervention occurs in their life . 
meg ryan , in her most subdued performance yet , plays maggie , a doctor who begins to ponder exactly who it is we're fighting against when we fight to keep someone alive . 
after losing a patient on the surgery table , these questions envelope maggie , and seth , the angel who was there to oversee the patient's transition into the afterlife , is immediately captivated by the doctor . 
he begins following and observing maggie , falling more and more in love with her everyday . 
angels , who we quickly learn are not and never were humans , can not experience human sensations such as taste and touch , but they do have the ability to make themselves seen to anyone they desire . 
seth's adoration is too much to resist , and eventually he does appear to maggie , quite regularly , although such a thing seems taboo among the angelic community . 
the angels are interestingly presented , all of them dressed in black and more reminiscent of hitmen than traditional glowing white entities , but it's a nice touch that never seems like a mere attempt at uniqueness . 
cage is a wonderfully versatile actor ( think face/off , raising arizona , and it could happen to you - what a combo ! ) who slips into the role of a heavenly agent quite nicely but threatens sappiness more than once . 
it's nice to see ryan pick up roles like this and the one in courage under fire . 
the two aren't very comparable to each other , but they both deviate from her usual ' intelligently ditzy ' romantic comedy roles , and it's an impressive side of ryan movie goers rarely have the chance to enjoy . 
but even though the two leads do an impressive job , it is dennis franz who grabs us with his interpretation of a hospital patient who knows more than meets the eye . 
it's a shame that with so much going for it , city of angels falters so much in its final stages , leaving us with the realization that an emotionally incredible movie was out there , they just didn't know quite how to get to it . 
they struggle for an impacting conclusion and wind up with painful thud rather than an exhilarating high . 
filmmakers should know your final impression will be the one you linger on , remember , and convey to others thru word of mouth , so after telling us for 60+ minutes that this film is a glorious masterpiece , they sure leave us with a disheartening taste of mediocrity in our mouths . 
based on the german film wings of desire ( that being the english title , of course ) , city of angels is ninety percent success , enough to make most people forgive its shortcomings , even the devastatingly disappointing ending . 
most movie goers , the non-cynics anyway , will be too wrapped up in the surreal atmosphere to give criticism to that which needs to be criticized . 
nonetheless , city of angels is beautifully captivating , which is probably enough to satisfy those poetic viewers who will appreciate a delve into rich emotional territories . 
"

24;"janeane garofalo in a romantic comedy -- it was a good idea a couple years ago with the truth about cats and dogs but is almost excruciating in the matchmaker . 
this is a by-the-books movie that plods along on a predestined course with no surprises and very few laughs . 
it also jumps on the ever-popular political satire bandwagon and manages to fall flat there , too . 
garofalo plays a campaign aide to a massacusetts senator ( jay o . sanders ) running for reelection . 
denis leary plays the stereotypical strategist with no ethics who decides the only way for the scandal- plagued senator to win is to play up his irish roots and cash in on that boston roman catholic democrat contingent that's made the kennedy family so popular . 
so leary orders garofalo to go to ireland and dig up some relatives to exploit . 
she soon learns why ' easier said than done ' is the mantra of movies like this . 
the matchmaker falls for every cliche of things that can go wrong -- garofalo has to take a tiny plane to ireland , almost misses the bus to town , can't get a hotel room , ends up in the smallest , trashiest one around , has a dog piss on her luggage , and so on . 
then comes what roger ebert calls the ' meet cute . ' 
it happens in every romance : the man and woman have to meet each other for the first time in some unconventional , cinematic way . 
in the matchmaker , it happens when garofalo walks into her hotel bathroom and finds a nude sean ( david o'hara ) in the bathtub , his dog sitting at his side . 
no points for guessing it's the same dog that just made water on her luggage . 
also no points for guessing garofalo hates o'hara on sight . 
that's how it works in movies like these . 
i know from the instant i saw that irishman in the bathtub that she'd hate him for awhile , then succumb to his charms , live happily for a reel or so before allowing some superficial detail to throw the relationship into turmoil , after which they'd reconcile in time for a happy irish tune to play over the end credits . 
i haven't mentioned the movie's twist yet . 
garofalo comes to the small ireland town during the annual matchmaking festival , during which lonely folks from around the county pair off into a future of bliss . 
milo o'shea ( who looks like an irish tom snyder ) is the matchmaker who pops onscreen occasionally to spew his words of wisdom and bring lonely souls together . 
rest assured he'll do all he can to match up garofalo and o'hara . 
oh , and in keeping with the matchmaker's utter predictability , he dies toward the end . 
what the message here ? 
sometimes even the most respectable person of comedic distinction , like garofalo , will sell out with a weak script . 
i was excited to see garofalo and leary in the same movie , but they actually only have two or three scenes together . 
leary stays stateside , for the most part , yelling at garofalo over the phone and generally being an asshole . 
he even undoes himself with the old microphone's still on after he's done giving the speech cliche . 
both of them should have known better . 
"

25;"and now the high-flying hong kong style of filmmaking has made its way down to the classics , and it isn't pretty . 
this time out the nod to asia goes by way of france in the excruciating bland and lukewarm production of the musketeer , a version of dumas's the three musketeers . 
by bringing in popular asian actor/stunt coordinator xing xing xiong -- whose only prior american attempts at stunt choreography have been the laughable van damme vehicle double team and the dennis rodman cinematic joke simon sez -- our musketeers are thrown into the air to do their fighting . 
the end result is a tepid and dull action/adventure rip-off that stinks of indiana jones and bad asian kung fu . 
the story is so simple my grandmother could have adapted the screenplay . 
d'artagnan ( justin chambers ) is the vengeful son of a slain musketeer . 
he travels to paris to join the royal musketeers and find the man that killed his parents . 
in paris , he meets the cunning cardinal richelieu ( stephen rea ) , who is trying to overthrow the king , and richelieu's man-in-black associate febre ( tim roth ) , the killer of his folks . 
he finds the musketeers in paris disbanded and drunk , so he rounds up aramis ( nick moran ) , athos ( jan gregor kremp ) and porthos ( steven spiers ) to free the musketeer's wrongfully imprisoned leader treville from the king's prison . 
d'artagnan and his new frisky love interest/chambermaid francesca ( mena suvari ) play footsy and coo at each other as the cardinal hunts down the musketeers until finally the queen ( catherine deneuve ) ends up being captured by the menancing febre , forcing the musketeers to regroup , with d'artagnan leading the charge , and save the day . 
director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster . 
one problem is that , in reality , most eastern films have taken their lead from western ones . 
jet li's high risk is a rip-off of die hard -- not the other way around . 
ironically , there is awfully little swordplay or action in the film at all -- maybe ten minutes of swashbuckling spread over five scenes . 
most asian action films carry the bulk of their production with 20- to 30-minute action sequences , because they know the scenes have to carry the picture . 
the musketeer instead weighs itself down with a predictable and monotonous screenplay by gene quintano ( sudden death ) , horrible acting by stephen rea and tim roth , and the prosaic attempt of justin chambers ( the wedding planner ) to deliver his mousy self as a leader . 
chambers' d'artangnan isn't a musketeer -- he's a mouseketeer ! 
and hyam's use of candles and torches to light the grime and filth of 17th century paris are well-noted , but that's the only standout in an overall flat production . 
"

26;"synopsis : bobby garfield ( yelchin ) lives in a small town with his mirthless widowed mother ( hope davis ) . 
bobby's world revolves around his friends , especially the spritely carol ( boorem ) . 
then one day , a new boarder arrives at bobby's house . 
ted brautigan ( hopkins ) is an enigmatic man to whom bobby takes an immediate liking . 
as the bond between bobby and ted deepens , bobby becomes privy to ted's great secret , an event which will change both of their lives forever . 
review : a small but enchanting movie , ' hearts in atlantis ' easily recalls another king-inspired coming-of-age film , ' stand by me ' , both in terms of its setting and the sentiment it conveys . 
 ' hearts ' is a tribute to the magic of childhood , to those summers when the days seem neverending , and nothing means more than your closest friends . 
unlike ' stand by me ' , there is a supernatural element to ' hearts ' , but although it is key to the plot , it is not prominent . 
like ' stand by me ' , this is a mostly character-driven film , and as such it benefits greatly from superb casting . 
yelchin is very good as bobby , finding a good mix of innocence and resignation . 
more splendid still is boorem , whom i praised highly for her work in ' along came a spider ' and who is simply radiant here as carol . 
and then there is hopkins , who despite playing such a quiet , introspective character as ted , nonetheless commands our attention every time he is onscreen . 
less successful is davis , whose strident elizabeth comes across as overly cartoonish . 
i also found it odd that bobby and carol's other friend , sully ( whose death as an adult sets up the movie's flashback framing device ) , is paid virtually no attention . 
but hicks' direction is lovely without being cloying , and despite the movie's general lack of incident , it never ceases to weave its spell over the audience . 
"

27;"synopsis : in this movie , steven spielberg , one of today's finest directors , attempts to spice up the 1800s story of a long courtroom battle over the fate of prisoner cinque ( djimon hounsou ) - - a young angry man from sierra leone who was kidnapped into slavery - - and his fellow prisoners . 
cinque and friends have landed a ship on the shores of america after escaping spanish slave traders , but since the americans don't speak cinque's language , the black men are hauled into court to determine whether or not they are legally slaves . 
technically , since the international slave trade was outlawed at that time , people like cinque couldn't be kidnapped into slavery ; one had to be born a slave to be legally considered a slave . 
lawyers baldwin and adams ( matthew mcconaughey and anthony hopkins ) must prove cinque and the others were captured into slavery , rather than born slaves , in order to get them out of prison as free men . 
three lengthy court cases are portrayed with spielberg's trademark panache - - flashy beginning , lots of facial close-ups , big music , and dramatic imagery . 
a final speech by adams is followed by an anticlimax where subtitles show what eventually happened to the various characters . 
opinion : making a fictional movie is easier than making one about real life . 
in fiction , one invents purposeful , clear-cut good guys and bad guys , puts the fictional characters in conflict , and takes the tale to its exciting conclusion . 
real life , however , consists of long stretches of boredom with a few dramatic moments and characters who stand around , think thoughts and do nothing , or come and go before events are resolved . 
spielberg gives us a visually spicy and historically accurate real life story . 
djimon hounsou and anthony hopkins turn in excellent performances . 
"

28;"a movie like mortal kombat : annihilation works ( and must be reviewed on ) multiple levels . 
first , there's the rampant usage of randian subtext that pervades the entire movie . 
but occasionaly , almost as if making an ironic , self-depreciating remark , the movie tosses in clearly marxist imagery . 
no no . . . 
just kidding . 
had you going there for a moment , didn't i ? 
in all seriousness however , and to be fair to the movie , it * is * necessary to provide two viewpoints : that of a movie watcher unfamiliar ( or only marginally familiar ) with the whole mortal kombat phenomenon , and that of a fan of the first movie and/or a fan of the games . 
the first movie ( mortal kombat ( 1995 ) ) concerned itself with a martial arts tournament that would decide the fate of earth ( and it's 5 billion inhabitants ) . 
the mortals won , and in theory this should have prevented the emperor shao khan from taking over the earth . 
unfortunately , shao khan was a poor loser , and the very final scene in mortal kombat showed him arriving anyway , ready to take over the planet , as our heroes assumed a fighting stance . 
the first movie was extraordinarily entertaining for those ( like myself ) who are fans of the game . 
i'd even go so far as to say that many folks who didn't know about the game probably enjoyed the movie . 
the writers and directors knew the limitations of both their cast and of the basic story itself , and they didn't try to overachieve . 
there were a lot of really cool fight scenes ( with really cool accompanying music ) , intersperesed with some distracting ( but ultimately non-intrusive ) bits of fluff passing itself off as a plot . 
and , as we know , the movie was a smashing success at the box office . 
mortal kombat : annihilation picks up precisely where that movie left off , with some introductory exposition to clue in those who may not have seen the first movie . 
shao khan has decided that he's going to take over the earth * anyways * , and to hell with some silly rule about mortals winning the tournament . 
thereafter follows approximately 85 minutes of film that alternates between being confused , being trite , being silly , and being just plain stupid . 
one gets the general impression that the producers of the movie thought ' hey , that last movie was such a success that we can get more money and make a * real * movie now . ' 
too bad they didn't simply stick with the formula from the first movie . 
i could write volumes about the things that are wrong with this picture , but here are the high points : 
 * the acting is truly bad . 
sandra hess ( playing the sonya blade character ) is particularly execrable , especially in scenes where she tries to convince us that she loved johnny cage ( a character from the first movie who gets greased at the beginning of this movie ) . 
 * in one of the worst pieces of mis-casting i think i've * ever * seen , james remar plays raiden , the god of thunder . 
in the first movie , christopher lambert played raiden and played his character as though he was in on the joke : a french actor playing a japanese thunder god being revered by chinese mystics . 
i generally like it when actors are cast against type ( tim ' tiny ' lister , jr . being cast as the president of the u . s . in the fifth element , for example ) , and remar has always been one of my favorite ' utility ' actors but he's so totally wrong for this part that he doesn't even have the luxury of amused self-awareness . 
 * there are too many characters that are introduced as being potentially important , but then never seen again . 
 * there are a number of completely meaningless story sidetracks , including a muddled scene where liu kang ( robin shou ) seeks out nightwolf ( litefoot ) , has a mystical hallucination , and then wanders off with jade ( irina pantaeva ) . 
for these reasons ( and many others ) , i can only give the movie a 2 . . . 
 . . . unless you're a huge fan of the games and/or the first movie . 
in that case , the following critiques also apply : 
 * sandra hess , while being an even worse actress than bridgette wilson ( who played sonya blade in the first movie ) , is much more convincing as a fighter . 
wilson looked like she was simply mimicing some movements taught to her by the fight choreographer . 
hess looks like she actually knows some martial arts , and puts together a much more believable fight scene . 
 * in the fights , each of the characters does at least * one * thing they do in the game ( and often more ) . 
sonya does her ' kiss of death , ' jax does his ' earthquake , ' liu kang does his ' animality , ' and so on . 
a big bonus for those of us who were looking for similar moves in the first movie and found them only rarely . 
 * there aren't as many fight scenes in this movie as there were in the first , because the folks making the movie mistakenly try to hang a more robust plot in between . 
silly , silly folks . 
and the lamest fight involved two of the women in what turns into a mud-wrestling match . 
lame and so obviously sexist even i ( politically incorrect , for the most part ) noticed and remarked upon it . 
 * the special effects are generally better , except for the final fight scene between the emporer and liu kang in which both perform their ' animalities . ' 
motaro and sheeva are both more convincing and lifelike than goro was in the first movie . 
for folks like myself who loved the first movie and enjoy the games , i give this a 5 . 
you'll probably like it , but not nearly as much as you liked the first one . 
"

29;"the police negotiator is the person with the entirely unenviable job of going into ground zero and attempting to talk a dangerous criminal out of doing whatever he or she intends to do . 
lives are often at stake , and the criminal is usually armed and most likely mentally unstable , prone to turn on the negotiator at a moment's notice . 
the negotiator must therefore be something of an actor , psychologist , and sham artist , in addition to being a police officer ; he must be able to think on his feet and either work toward the goal of ending the confrontation without violence , or failing that , must be prepared to facilitate the conclusion of the crisis through firepower . 
most of all , the negotiator must be able to enter a situation with as little intelligence about the scenario as possible , and quickly gain control of the situation , dominate the conversation , and influence the perpetrator into thinking that the end of the conflict is what he really wants . 
it takes a pretty smart person to do that . 
but what if the hostage-holding criminal is just as smart ? 
what if he's also able to think on his feet ? 
in fact , what if he also knows all the tricks to turning the situation to his favor ? 
it is this circumstance which forms the basis for f . gary gray's the negotiator . 
in this film , police negotiator danny roman ( samuel l . jackson ) is tipped off by his partner to corruption within the chicago police force . 
when his partner turns up shot to death and internal affairs finds incriminating evidence in roman's home , roman becomes the prime suspect of both embezzling from the police disability fund and murder . 
faced with the scorn of most of the police department , and under close scrutiny by the media , roman is forced to turn in his badge in one of those typical scenes in the captain's office . 
i don't quite remember if the captain actually said , ' i hate to do this , but . . . ' , 
although it wouldn't surprise me if he did . 
luckily , the film soon shakes off the conventionalism and concentrates on the interesting premise mentioned above . 
after being offered a take-it-or-leave-it deal by the district attorney , roman resolves to prove his innocence by walking into the office of internal affairs inspector niebaum ( j . t . 
walsh ) , taking him and others hostage , and proclaiming he has been framed . 
although roman's actions seem forced due to the compressed nature of his motivational build-up , gray redeems himself by involving us with the negotiations between roman and fellow police negotiator chris sabian ( kevin spacey ) which soon ensue . 
jackson , while a superb actor , is miscast in the role of roman . 
the actor has become so popular , and so often identified as a protagonist ( notable exceptions can be found , such as in jackie brown ) , that we as an audience have a difficult time believing he will carry out his threats . 
the script also clearly sets him up as the good guy who is only trying to prove his innocence . 
how can we believe he's going to shoot a hostage , no matter if the hostage tried to kill him earlier ? 
unfortunately , this preconception saps the film of some of it's would-be suspenseful moments , and anything good left in those scenes is largely attributed to jackson's acting ability . 
almost every time he's in a scene , jackson steals it without looking back . 
when spacey appears , the film has already run about a third of its course . 
his is an interesting character . 
made out to be some kind of negotiating superman , our first look at him has him hopelessly trying to get his family moving to set out on vacation . 
 ' i can talk a man out of blowing up the sears tower , but i can't talk my wife out of the bedroom or my daughter off the phone , ' he says . 
when he gets the call to action , however , he quickly changes gears and becomes the man we expect him to be . 
soon , his character has to negotiate not only with roman , but also with the swat commander ( david morse ) who is itching to send in a team to take roman out , all the while keeping wary of the fbi agents who are waiting to take over the operation , should negotiations fail . 
this complex set of pressures are reflected well in sabian the negotiator and spacey the actor . 
as the second protagonist , spacey measures up nicely . 
gray really lucked out with this cast . 
david morse as commander beck , ron rifkin as commander frost , and john spencer as police chief al travis are all more than competent , and can hold their own in scenes with jackson and spacey . 
the only problem is the bit of typecasting that results from these choices : morse played a similar role in the rock , rifkin played the d . a . 
in l . a . confidential , and spencer played a police detective in cop land . 
with the level of acting , however , this can be forgiven . 
also in the supporting cast , paul giamatti as rudy , one of the hostages , is notable for the comic relief he provides . 
his character is initially so slimy , and giamatti himself just looks so shifty , that you expect to laugh before he even says anything . 
fortunately , this doesn't distract from the seriousness of the rest of the film , but instead provides some nice breathers from the level of tension which gray manages to sustain throughout . 
j . t . walsh , as the suspicious internal affairs inspector , clocks in with one of his final performances . 
sadly , the talented but underrated actor passed away in late february of this year , and the soon to be released pleasantville will mark his last film . 
walsh appeared in dozens of movies such as good morning vietnam , backdraft , and nixon . 
for one of his best performances , check out sling blade , in which he plays a mental patient sharing a ward with billy bob thornton . 
when jack nicholson accepted his best actor oscar in march , walsh was one of the men to whom he credited his success ( the actors performed together in a few good men ) . 
the negotiator is actually dedicated to walsh , and while inspector niebaum may not have been his best role , it certainly characterizes the type of character for which walsh had become most famous for playing . 
in the end , the negotiator has a plotline that parallels it's reality . 
